"","statNm","addr","lat","lng","useTime"
"1","홈플러스 영도점","부산광역시 영도구 대교로14번길 57","35.095906","129.044240","09:00~24:00"
"2","온천장역 공영주차장","부산광역시 금정구 오시게로 20","35.219290","129.086050","24시간 이용가능"
"3","이마트 문현점","부산광역시 남구 전포대로91번길 47","35.144356","129.064256","10:00~24:00"
"4","하단역 공영주차장","부산광역시 사하구 하신중앙로 313","35.106166","128.965760","24시간 이용가능"
"5","이마트 금정점","부산광역시 금정구 중앙대로1841번길 24","35.24975906","129.0901501","10:00~24:00"
"6","남산역 공영주차장","부산광역시 금정구 중앙대로 2030","35.265513","129.092746","24시간 이용가능"
"7","부산환경공단 명지사업소","부산광역시 강서구 명지오션시티13로 12-11","35.090537","128.898577","24시간 이용가능"
"8","홈플러스 아시아드점","부산광역시 연제구 종합운동장로 7","35.19104755","129.06250571","09:00~24:00"
"9","이마트 연제점","부산광역시 연제구 연수로 89","35.176147","129.081345","10:00~24:00"
"10","학장천 공영주차장","부산광역시 사상구 가야대로 309","35.148500","129.000724","24시간 이용가능"
"11","장안휴게소(울산방향)","부산광역시 기장군 장안읍 동해고속도로 26","35.3820817","129.248685","24시간 이용가능"
"12","장안휴게소(부산방향)","부산광역시 기장군 장안읍 명례리 835","35.3783548","129.2461223","24시간 이용가능"
"13","기장군청","부산광역시 기장군 기장읍 기장대로 560","35.2443","129.2232",""
"14","장전역 공영주차장","부산광역시 금정구 장전1동 242","35.239348","129.0876819","24시간 이용가능"
"15","동래역 공영주차장 ","부산광역시 동래구 중앙대로 1324","35.206922","129.0786666","24시간 이용가능"
"16","부산진구청 지하1층 주차장","부산광역시 부산진구 시민공원로 30","35.162892","129.0530287","24시간 이용가능"
"17","부산시민공원 지하 주차장","부산광역시 부산진구 시민공원로 73","35.1651212","129.0562968","24시간 이용가능"
"18","삼락재첩거리","부산광역시 사상구 낙동대로 1518번길 26","35.1930058","128.985466","24시간 이용가능"
"19","망미동 공영주차장","부산광역시 수영구 망미동 979-73","35.1701378","129.096877","24시간 이용가능"
"20","수변공원","부산광역시 수영구 민락수변로 95","35.1547999","129.1318417","24시간 이용가능"
"21","부산지방경찰청 앞 민원인 주차장","부산광역시 연제구 중앙대로 999","35.1794806","129.0734269","24시간 이용가능"
"22","부산테크노파크 종합물류경영기술지원센터","부산광역시 영도구 해양로 435-1","35.0729995","129.080228","24시간 이용가능"
"23","용두산 공영주차장","부산광역시 중구 대청로 116번길 3","35.1023192","129.0326838","24시간 이용가능"
"24","중동역 공영주차장","부산광역시 해운대구 해운대로 731","35.1668257","129.1699787","24시간 이용가능"
"25","한국마사회 부산경남지역본부","부산광역시 강서구 가락대로 929","35.15158","128.872972","24시간 이용가능"
"26","부산 어린이 대공원","부산광역시 부산진구 성지곡로 3","35.184608","129.04349","24시간 이용가능"
"27","부산시 교육청","부산광역시 부산진구 화지로 12","35.176287","129.064777","24시간 이용가능"
"28","부산아시아드보조경기장VIP주차장","부산광역시 연제구 거제동 1312","35.188449","129.055808","05:00~24:00"
"29","부산아시아드보조경기장VIP주차장","부산광역시 연제구 거제동 1312","35.188449","129.055808","05:00~24:00"
"30","부산아시아드보조경기장VIP주차장","부산광역시 연제구 거제동 1312","35.188449","129.055808","05:00~24:00"
"31","부산아시아드보조경기장VIP주차장","부산광역시 연제구 거제동 1312","35.188449","129.055808","05:00~24:00"
"32","부산아시아드보조경기장VIP주차장","부산광역시 연제구 거제동 1312","35.188449","129.055808","05:00~24:00"
"33","부산아시아드보조경기장VIP주차장","부산광역시 연제구 거제동 1312","35.188449","129.055808","05:00~24:00"
"34","롯데마트 사상점","부산광역시 사상구 낙동대로 733 (엄궁동)","35.127586","128.968375","10:00~23:00"
"35","롯데마트 동래점","부산광역시 동래구 중앙대로 1393 (온천동)","35.212005","129.077246","10:00~23:00"
"36","롯데마트 광복점","부산광역시 중구 중앙대로2 (중앙동7가)","35.097858","129.036146","10:00~23:00"
"37","김해공항","부산광역시 강서구 공항진입로 108","35.173216","128.946465","24시간 이용가능"
"38","김해공항","부산광역시 강서구 공항진입로 108","35.173216","128.946465","24시간 이용가능"
"39","철마면사무소","부산광역시 기장군 철마면 철마면 485","35.2746745","129.1496941","24시간 이용가능"
"40","장안읍사무소","부산광역시 기장군 장안읍 좌방길 5","35.3138644","129.2440318","24시간 이용가능"
"41","정관읍사무소","부산광역시 기장군 정관읍 용수로 4, 입구 우측","35.3254808","129.1803974","24시간 이용가능"
"42","기아차 부산서비스센터","부산광역시 사상구 가야대로 141","35.150303","128.987970","06:00~22:00"
"43","롯데마트 사하점","부산광역시 사하구 을숙도대로 610","35.084840","128.971577","10:00~23:00"
"44","이마트 해운대점","부산광역시 해운대구 좌동순환로 511","35.165994","129.167388","10:00~24:00"
"45","동원 공영주차장","부산광역시 북구 만덕동 934","35.210513","129.030131","24시간 이용가능"
"46","롯데마트 화명점","부산광역시 북구 화명대로 47(화명동)","35.235202","129.013075","10:00~23:00"
