"","title","year","fuel","km","price","maker"
"1","현대 아반떼HD 1.6 디젤 S16 럭셔리","06/11(07년형)","디젤",250000,220,"현대"
"2","기아 스팅어 3.3 터보 GT","18/04","가솔린",50000,3190,"기아"
"3","제네시스 G70 3.3 터보 스포츠 엘리트","19/09","가솔린",40000,3990,"제네시스"
"4","쌍용 렉스턴 스포츠 칸 2.2 디젤 4WD 5링크 프로페셔널 X","19/02","디젤",50000,2650,"쌍용"
"5","기아 카니발 4세대 2.2 디젤 9인승 노블레스","20/09(21년형)","디젤",40000,3750,"기아"
"6","기아 K5 1.6 터보 노블레스","21/08","가솔린",4000,2450,"기아"
"7","기아 스팅어 3.3 터보 GT","18/06","가솔린",60000,2950,"기아"
"8","쌍용 뉴렉스턴 2.7 디젤 4WD RX5 EDi 노블레스","04/06","디젤",230000,290,"쌍용"
"9","제네시스 G80 3.3 AWD 프리미엄 럭셔리","17/03","가솔린",110000,2530,"제네시스"
"10","쉐보레 올 뉴 말리부 2.0 터보 LTZ 프리미엄","16/10(17년형)","가솔린",40000,1690,"쉐보레"
"11","기아 올 뉴 쏘렌토 2.2 디젤 2WD 노블레스","16/06","디젤",1e+05,1870,"기아"
"12","쉐보레 올 뉴 말리부 2.0 터보 LTZ 프리미엄","17/03","가솔린",60000,1690,"쉐보레"
"13","GM대우 라세티 프리미어 1.6 CDX 블루 & 블랙 에디션","09/09","가솔린",140000,310,"GM대우"
"14","현대 갤로퍼2 2.5 디젤 밴 2인승 숏바디 인터쿨러 엑시드","01/04","디젤",140000,650,"현대"
"15","쉐보레 크루즈 1.4 터보 5도어 LT 플러스 래더팩","14/08","가솔린",50000,730,"쉐보레"
"16","기아 모하비 더 마스터 3.0 디젤 4WD 5인승 마스터즈","21/04","디젤",20000,5390,"기아"
"17","현대 e-카운티 캠핑카","09/07","디젤",350000,3700,"현대"
"18","쌍용 렉스턴2 노블레스 최고급형","05/11(06년형)","가솔린",180000,1150,"쌍용"
"19","기아 올 뉴 모닝 1.0 터보 프레스티지","17/05","가솔린",50000,1200,"기아"
"20","현대 제네시스 3.8 로얄","08/07","가솔린",150000,790,"현대"
"21","현대 벨로스터 1.4 터보 모던","18/12","가솔린",9000,1569,"현대"
"22","기아 봉고3 CRDi 킹캡 초장축 GLX","09/07","디젤",80000,599,"기아"
"23","쉐보레 아베오 1.6 LT 최고급형","12/01","가솔린",80000,439,"쉐보레"
