시설명,소재지,전화번호,종사원,시설유형,비고
광명원,전남 영암군 삼호읍 신호정길 43-17,061-462-7356,54,"시각, 지적 장애인 거주시설",
공생재활원,전라남도 목포시 대양로 14-24,061-246-2036,49,지적장애인 거주시설,
목포장애인요양원,전라남도 무안군 청계면 문화리 339-5,061-453-3726,50,중증장애인 거주시설,
소망장애인복지원,전라남도 목포시 대양산단로199번길 93-36,061-273-0780,29,지체장애인거주시설,
보담하우스,전라남도 목포시 대양산단로199번길 93-46,061-802-2711,18,중증장애인 거주시설,
명도복지관,전라남도 목포시 산정동199번길 25,061-279-4879,40,지역사회재활시설,
목포시장애인종합복지관,전라남도 목포시 하당로205번길 12,061-285-2811,24,지역사회재활시설,
목포시각장애인생활이동지원센터,전라남도 목포시 영산로 361,061-285-5200,6,장애인지역사회재활시설,
성산그레이스 주간보호센터,전라남도 목포시 번화로41-7,061-285-9520,5,장애인주간보호시설,
목포시수어통역센터,전남 목포시 산정로21번길 9,061-242-2165,7,장애인 지역사회재활시설,
명도주간보호센터,전라남도 목포시 산정로199번길 25,061-279-4879,5,장애인주간보호시설,
성골롬반하우스,전라남도 목포시 백년로길 266-13,061-284-2879,4,장애인주간보호시설,
명도단기보호센터,전라남도 목포시 산정로199번길 25,061-279-4879,3,장애인단기보호시설,
예손자립원,전라남도 목포시 대양로 372-3,061-246-2400,5,장애인 직업재활시설,
명도자립센터,전라남도 목포시 대박길 69,061-284-4879,5,장애인직업재활시설,
소망자립센터,전라남도 목포시 대양산단로199번길 93-34,061-278-7222,5,장애인직업재활시설(보호작업장),
진 성 원,전라남도 무안군 삼향읍 유교길101,061-280-6510,27,노숙인재활시설,사회복지과
동 명 원,전라남도 무안군 청계면 복길로 211-35,061-452-5514,12,노숙인재활 시설,사회복지과
성산정신요양원,전라남도 무안군 삼향읍 유교길101,061-280-6530,58,정신요양시설 ,
명도복지관일신그룹홈,"전라남도 목포시 양을로 91, 일신아파트 103동102호",061-272-2335,1,장애인공동생활가정,
성골롬반그룹홈,전라남도 목포시 백년대로 266번길 13,070-8198-9512,1,장애인공동생활가정,
